id,source,collection_method,user_text,normalized_text,intent_expected,constraints,difficulty,category,expected_behavior,expected_not_to_do,actual_behavior,status,notes,conversation_id,turn_id,source_url
QS-0011,synthetic,web_pattern_paraphrase,Tính giúp tôi hôm nay protein carb fat còn lại bao nhiêu,tinh giup toi hom nay protein carb fat con lai bao nhieu,nutrition_calc,"metric=protein,carb,fat",medium,nutrition_calc,Tính hoặc truy xuất kcal/macro còn lại; nếu thiếu log ăn/uống thì hỏi rõ khẩu phần hoặc nhắc cần dữ liệu ngày hiện tại.,Không tự đoán macro chính xác khi thiếu khẩu phần; không route sang gợi ý món nếu user đang hỏi số liệu.,,,pattern: macro protein/carb/fat,,,https://tamanhhospital.vn/cach-tinh-calo/
QS-0012,synthetic,web_pattern_paraphrase,Nếu 1g fat 9 kcal thì tôi còn ăn được bao nhiêu fat hôm nay,neu 1g fat 9 kcal thi toi con an duoc bao nhieu fat hom nay,nutrition_calc,metric=fat;kcal_factor=fat_9,hard,nutrition_calc,Tính hoặc truy xuất kcal/macro còn lại; nếu thiếu log ăn/uống thì hỏi rõ khẩu phần hoặc nhắc cần dữ liệu ngày hiện tại.,Không tự đoán macro chính xác khi thiếu khẩu phần; không route sang gợi ý món nếu user đang hỏi số liệu.,,,pattern: macro kcal conversion,,,https://tamanhhospital.vn/cach-tinh-calo/
QS-0013,synthetic,generated_from_playbook,Ăn gì cho đỡ ngấy cơm ngoài?,an gi cho do ngay com ngoai?,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0014,synthetic,generated_from_playbook,"Tôi chưa biết ăn gì, recommend giúp","toi chua biet an gi, recommend giup",meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0015,synthetic,generated_from_playbook,Bữa sáng nay nên ăn gì mà nhiều đạm?,bua sang nay nen an gi ma nhieu dam?,meal_plan,meal=breakfast;nutrition=high_protein,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0016,synthetic,generated_from_playbook,Gợi ý 3 món dễ ăn hôm nay,goi y 3 mon de an hom nay,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0017,synthetic,generated_from_playbook,Hôm nay ăn gì?,hom nay an gi?,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0018,synthetic,generated_from_playbook,Hôm nay ăn gì nhỉ?,hom nay an gi nhi?,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,Biến thể chống trùng câu.,,,
QS-0019,synthetic,generated_from_playbook,Ăn gì cho đỡ ngấy cơm ngoài nhỉ?,an gi cho do ngay com ngoai nhi?,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,Biến thể chống trùng câu.,,,
QS-0020,synthetic,generated_from_playbook,Hôm nay nên ăn gì đây?,hom nay nen an gi day?,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0021,synthetic,generated_from_playbook,Ăn gì bây giờ cho đỡ chán?,an gi bay gio cho do chan?,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0022,synthetic,generated_from_playbook,Gợi ý món cho hôm nay đi,goi y mon cho hom nay di,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0023,synthetic,generated_from_playbook,Bữa sáng nay nên ăn gì?,bua sang nay nen an gi?,meal_plan,meal=breakfast,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0024,synthetic,generated_from_playbook,Hôm nay ăn gì mà no lâu?,hom nay an gi ma no lau?,meal_plan,nutrition=satiety,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0025,synthetic,generated_from_playbook,Ăn khuya nay nên ăn gì?,an khuya nay nen an gi?,meal_plan,meal=late_night,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0026,synthetic,generated_from_playbook,Bữa trưa nay nên ăn gì?,bua trua nay nen an gi?,meal_plan,meal=lunch,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0027,synthetic,generated_from_playbook,Ăn gì cho đỡ ngấy cơm ngoài nhỉ bản 1?,an gi cho do ngay com ngoai nhi ban 1?,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,Biến thể chống trùng câu.,,,
QS-0028,synthetic,generated_from_playbook,Món nào hợp để ăn một mình?,mon nao hop de an mot minh?,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0029,synthetic,generated_from_playbook,Bữa tối nay nên ăn gì?,bua toi nay nen an gi?,meal_plan,meal=dinner,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0030,synthetic,generated_from_playbook,Bữa trưa nay nên ăn gì nhỉ?,bua trua nay nen an gi nhi?,meal_plan,meal=lunch,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,Biến thể chống trùng câu.,,,
QS-0031,synthetic,generated_from_playbook,Ăn gì cho đỡ ngấy cơm ngoài mà tăng cơ?,an gi cho do ngay com ngoai ma tang co?,meal_plan,goal=muscle_gain,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0032,synthetic,generated_from_playbook,Bữa trưa nay nên ăn gì mà no lâu?,bua trua nay nen an gi ma no lau?,meal_plan,meal=lunch;nutrition=satiety,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0033,synthetic,generated_from_playbook,Bữa trưa nay nên ăn gì mà nhiều đạm?,bua trua nay nen an gi ma nhieu dam?,meal_plan,meal=lunch;nutrition=high_protein,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0034,synthetic,generated_from_playbook,Có món nào ngon không?,co mon nao ngon khong?,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0035,synthetic,generated_from_playbook,Hôm nay ăn gì mà giảm cân?,hom nay an gi ma giam can?,meal_plan,goal=weight_loss,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0036,synthetic,generated_from_playbook,Có món nào ngon không nhỉ?,co mon nao ngon khong nhi?,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,Biến thể chống trùng câu.,,,
QS-0037,synthetic,generated_from_playbook,Món nào hợp để ăn một mình nhỉ?,mon nao hop de an mot minh nhi?,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,Biến thể chống trùng câu.,,,
QS-0038,synthetic,generated_from_playbook,Bữa tối nay nên ăn gì nhỉ?,bua toi nay nen an gi nhi?,meal_plan,meal=dinner,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,Biến thể chống trùng câu.,,,
QS-0039,synthetic,generated_from_playbook,Ăn gì cho đỡ ngấy cơm ngoài nhỉ bản 1 bản 2?,an gi cho do ngay com ngoai nhi ban 1 ban 2?,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,Biến thể chống trùng câu.,,,
QS-0040,synthetic,generated_from_playbook,Bữa tối nay nên ăn gì mà giảm cân?,bua toi nay nen an gi ma giam can?,meal_plan,meal=dinner;goal=weight_loss,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0041,synthetic,generated_from_playbook,Bụng đói mà không biết ăn gì,bung doi ma khong biet an gi,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0042,synthetic,generated_from_playbook,Tôi muốn đổi món hôm nay,toi muon doi mon hom nay,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0043,synthetic,generated_from_playbook,Bữa trưa nay nên ăn gì nhỉ bản 1?,bua trua nay nen an gi nhi ban 1?,meal_plan,meal=lunch,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,Biến thể chống trùng câu.,,,
QS-0044,synthetic,generated_from_playbook,Hôm nay nên ăn gì đây nhỉ?,hom nay nen an gi day nhi?,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,Biến thể chống trùng câu.,,,
QS-0045,synthetic,generated_from_playbook,Gợi ý 3 món dễ ăn hôm nay nhỉ,goi y 3 mon de an hom nay nhi,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,Biến thể chống trùng câu.,,,
QS-0046,synthetic,generated_from_playbook,Bữa sáng nay nên ăn gì nhỉ?,bua sang nay nen an gi nhi?,meal_plan,meal=breakfast,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,Biến thể chống trùng câu.,,,
QS-0047,synthetic,generated_from_playbook,Có món nào ngon không nhỉ bản 1?,co mon nao ngon khong nhi ban 1?,meal_plan,,easy,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,Biến thể chống trùng câu.,,,
QS-0048,synthetic,generated_from_playbook,Có gì ăn nhẹ mà vẫn no không mà nhiều đạm?,co gi an nhe ma van no khong ma nhieu dam?,meal_plan,nutrition=high_protein,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0049,synthetic,generated_from_playbook,Bữa tối nay nên ăn gì nhỉ bản 1?,bua toi nay nen an gi nhi ban 1?,meal_plan,meal=dinner,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,Biến thể chống trùng câu.,,,
QS-0050,synthetic,generated_from_playbook,Gợi ý 3 món dễ ăn hôm nay mà giảm cân?,goi y 3 mon de an hom nay ma giam can?,meal_plan,goal=weight_loss,medium,meal_plan_general,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,
QS-0051,synthetic,web_pattern_paraphrase,Ăn gì tối nay budget 30k,an gi toi nay budget 30k,meal_plan,meal=dinner;budget<=30000;time<=30,medium,budget_time,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,https://voz.vn/t/suot-ngay-an-com-bui-sinh-vien-o-ky-tuc-xa-them-khat-com-nha.655269/
QS-0052,synthetic,web_pattern_paraphrase,Món nào làm dưới 30 phút cho bữa tối,mon nao lam duoi 30 phut cho bua toi,meal_plan,meal=dinner;time<=30,medium,budget_time,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,https://voz.vn/t/suot-ngay-an-com-bui-sinh-vien-o-ky-tuc-xa-them-khat-com-nha.655269/
QS-0053,synthetic,web_pattern_paraphrase,Món nào làm dưới 20 phút cho bữa sáng,mon nao lam duoi 20 phut cho bua sang,meal_plan,meal=breakfast;time<=20,medium,budget_time,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,https://voz.vn/t/suot-ngay-an-com-bui-sinh-vien-o-ky-tuc-xa-them-khat-com-nha.655269/
QS-0054,synthetic,web_pattern_paraphrase,Gợi ý bữa tối dưới 20k,goi y bua toi duoi 20k,meal_plan,meal=dinner;budget<=20000;time<=20,medium,budget_time,Gợi ý món/bữa ăn phù hợp constraint; hỏi thêm chỉ khi thiếu dữ liệu quan trọng; ưu tiên món có trong DB nếu flow yêu cầu grounding.,Không trả lời ngoài domain; không bỏ qua constraint ngân sách/thời gian/mục tiêu/sở thích; không bịa món nếu cần DB.,,,,,,https://store.longphuong.vn/hom-nay-an-gi/
